model,accuracy,f1_weighted,roc_auc
KNeighbors,0.7533333333333333,0.7511179005092049,0.8917913033846149
RandomForest,0.7266666666666667,0.726757642150132,0.8765875797607733
GradientBoosting,0.6933333333333334,0.6931716553783409,0.8533601763440614
DecisionTree,0.5866666666666667,0.5866918807323924,0.6899759158033288
LogisticRegression,0.7,0.7009584795321637,0.8476922603763706
SGDClassifier,0.6166666666666667,0.6152043043724501,
SVM,0.8,0.8001760204081634,0.9187057411420608
XGB,0.72,0.7204153801271953,0.8541881710388035
