Model,Validation_RMSE,Validation_R2,CV_RMSE_Mean,CV_RMSE_Std
KNeighborsRegressor,0.18012296096590763,0.8261394931111097,0.1721875461086458,0.014229283599789208
RandomForestRegressor,0.1481718232997528,0.8823494297630893,0.14662712290376395,0.014917423427513695
GradientBoostingRegressor,0.1375782883174958,0.8985708957468941,0.131365936366253,0.02006636827473328
DecisionTreeRegressor,0.19970813520859257,0.7862755051561965,0.21297387495378656,0.01769693700649632
LinearRegression,0.20275521632660706,0.7797038745763034,0.16902152778302573,0.03756345447408871
SGDRegressor_Squared,0.21677508754354716,0.7481850402550483,0.26161156359917936,0.02751821267008964
SVR,0.1383687394272868,0.8974020329914174,0.12793333806867535,0.019077417030341284
XGBRegressor,0.146380584251736,0.8851767754520161,0.145529621004651,0.020760987617277626
VotingRegressor,0.14087049203475907,0.8936584834786007,0.13064188141002106,0.022156415227271943
