Model,Validation_RMSE,Validation_R2,Best_Params
XGBRegressor,0.13052323179308184,0.9087068014240618,"{""subsample"": 0.6, ""n_estimators"": 400, ""max_depth"": 3, ""learning_rate"": 0.05, ""colsample_bytree"": 0.6}"
VotingRegressor,0.13056865713890253,0.9086432457383254,Top 3 models ensemble
SVR,0.13646853239411066,0.9002006233683437,"{""kernel"": ""rbf"", ""gamma"": ""auto"", ""C"": 1.0}"
GradientBoostingRegressor,0.13774124107471844,0.8983304807704187,"{""subsample"": 0.6, ""n_estimators"": 400, ""max_depth"": 3, ""learning_rate"": 0.05}"
RandomForestRegressor,0.14739059325620013,0.8835867751161384,"{""n_estimators"": 100, ""min_samples_split"": 2, ""max_features"": 0.5, ""max_depth"": null}"
KNeighborsRegressor,0.1815670617494354,0.8233405322934931,"{""weights"": ""distance"", ""p"": 1, ""n_neighbors"": 9}"
DecisionTreeRegressor,0.19297724818539821,0.8004393063946411,"{""min_samples_split"": 5, ""min_samples_leaf"": 1, ""max_depth"": 10}"
LinearRegression,0.20275521632660706,0.7797038745763034,"{""fit_intercept"": true}"
SGDRegressor_Squared,0.21677508754354716,0.7481850402550483,"{""penalty"": ""l2"", ""max_iter"": 500, ""learning_rate"": ""invscaling"", ""alpha"": 0.0001}"
